"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25825","User can add product to WishList successfully MariamTester2@gmail.com","Chromium","2026-05-01","passed","2026-05-01","","5-WishListTest.spec.js","",""
"","40982","User can change password successfully","Chromium","2026-05-01","broken","2026-05-01","","6-CustomerInfo.spec.js","",""
"","18647","User can remove product from cart successfully","Chromium","2026-05-01","passed","2026-05-01","","9-RemoveProductTest.spec.js","",""
"","43449","User can register successfully","Chromium","2026-05-01","broken","2026-05-01","","1-RegisterTest.spec.js","",""
"","27542","User can send E-Mail successfully","Chromium","2026-05-01","passed","2026-05-01","","3-SendEmailTest.spec.js","",""
"","41840","User can send E-Mail successfully","Chromium","2026-05-01","broken","2026-05-01","","10_AddProducts.spec.js","",""
"","24559","User can login successfully","Chromium","2026-05-01","passed","2026-05-01","","2-LoginTest.spec.js","",""
"","15264","@smoke User can navigate my account and select lists successfully","Chromium","2026-05-01","passed","2026-05-01","","8-MyAccount.spec.js","",""
"","13032","User can add product to WishList successfully MariamTester3@gmail.com","Chromium","2026-05-01","passed","2026-05-01","","5-WishListTest.spec.js","",""
"","23956","@smoke User can contact us successfully","Chromium","2026-05-01","passed","2026-05-01","","4-ContactUsTest.spec.js","",""
"","35169","User can place order successfully","Chromium","2026-05-01","passed","2026-05-01","","7-E2E_PlaceOrder.spec.js","",""
